day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;PEARLS;10002;1;9996;2;9995;29;10004;2;10005;29;;;10003.0;0.0
-1;0;PINA_COLADAS;14999;38;14998;53;;;15001;38;15002;53;;;15000.0;0.0
-1;0;COCONUTS;7999;162;;;;;8001;55;8002;107;;;8000.0;0.0
-1;0;BANANAS;4951;1;4946;2;4945;29;4952;31;;;;;4951.5;0.0
-1;100;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;4.0
-1;100;COCONUTS;7998;187;;;;;8001;187;;;;;7999.5;0.0
-1;100;PINA_COLADAS;14999;31;14998;64;;;15001;31;15002;64;;;15000.0;0.0
-1;100;BANANAS;4945;24;;;;;4952;24;;;;;4948.5;3.4443359375
-1;200;COCONUTS;7997;191;;;;;8000;191;;;;;7998.5;0.0
-1;200;BANANAS;4945;20;;;;;4952;20;;;;;4948.5;3.79541015625
-1;200;PINA_COLADAS;14998;106;;;;;15001;106;;;;;14999.5;0.0
-1;200;PEARLS;9995;20;;;;;10005;20;;;;;10000.0;4.0
-1;300;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;4.0
-1;300;PINA_COLADAS;14999;35;14998;67;;;15001;35;15002;67;;;15000.0;0.0
-1;300;COCONUTS;7998;187;;;;;8001;187;;;;;7999.5;0.0
-1;300;BANANAS;4945;31;;;;;4952;31;;;;;4948.5;3.60400390625
-1;400;PINA_COLADAS;14998;38;14997;69;;;15000;38;15001;69;;;14999.0;0.0
-1;400;PEARLS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;4.0
-1;400;COCONUTS;7997;186;;;;;8000;186;;;;;7998.5;0.0
-1;400;BANANAS;4945;27;;;;;4952;27;;;;;4948.5;3.33740234375
-1;500;PEARLS;9995;30;;;;;10002;4;10005;30;;;9998.5;4.0
-1;500;PINA_COLADAS;14997;27;14996;52;;;15000;79;;;;;14998.5;0.0
-1;500;COCONUTS;7996;189;;;;;7998;62;7999;127;;;7997.0;0.0
-1;500;BANANAS;4945;30;;;;;4950;4;4952;30;;;4947.5;3.6669921875
-1;600;COCONUTS;7996;184;;;;;7999;184;;;;;7997.5;0.0
-1;600;BANANAS;4945;25;;;;;4952;25;;;;;4948.5;3.27734375
-1;600;PINA_COLADAS;14998;93;;;;;15001;93;;;;;14999.5;0.0
-1;600;PEARLS;10000;5;9995;25;;;10005;25;;;;;10002.5;4.0
-1;700;PEARLS;9995;23;;;;;10005;23;;;;;10000.0;4.0
-1;700;PINA_COLADAS;15001;103;;;;;15004;103;;;;;15002.5;0.0
-1;700;COCONUTS;7997;165;;;;;8000;165;;;;;7998.5;0.0
-1;700;BANANAS;4945;23;;;;;4952;23;;;;;4948.5;3.4765625
-1;800;PINA_COLADAS;15001;106;;;;;15004;106;;;;;15002.5;0.0
-1;800;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;4.0
-1;800;COCONUTS;7996;191;;;;;7999;191;;;;;7997.5;0.0
-1;800;BANANAS;4944;30;;;;;4951;30;;;;;4947.5;4.6953125
-1;900;BANANAS;4944;1;4943;22;;;4950;23;;;;;4947.0;5.22998046875
-1;900;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;4.0
-1;900;PINA_COLADAS;15000;93;;;;;15003;93;;;;;15001.5;0.0
-1;900;COCONUTS;7996;187;;;;;7998;42;7999;145;;;7997.0;0.0
-1;1000;COCONUTS;7998;199;;;;;8001;199;;;;;7999.5;0.0
-1;1000;BANANAS;4944;26;;;;;4951;26;;;;;4947.5;4.966796875
-1;1000;PINA_COLADAS;15005;86;;;;;15008;86;;;;;15006.5;0.0
-1;1000;PEARLS;9995;26;;;;;10005;26;;;;;10000.0;4.0
-1;1100;BANANAS;4944;26;;;;;4950;2;4951;24;;;4947.0;4.8994140625
-1;1100;PEARLS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;4.0
-1;1100;PINA_COLADAS;15005;37;15004;74;;;15007;37;15008;74;;;15006.0;0.0
-1;1100;COCONUTS;7997;220;;;;;8000;220;;;;;7998.5;0.0
-1;1200;PINA_COLADAS;15006;33;15005;56;;;15009;89;;;;;15007.5;0.0
-1;1200;PEARLS;9995;21;;;;;9998;1;10005;21;;;9996.5;-4.0
-1;1200;COCONUTS;7997;164;;;;;7999;50;8000;114;;;7998.0;0.0
-1;1200;BANANAS;4944;21;;;;;4951;21;;;;;4947.5;4.5439453125
-1;1300;PEARLS;10002;1;9996;1;9995;30;10004;1;10005;30;;;10003.0;-4.0
-1;1300;BANANAS;4944;31;;;;;4951;31;;;;;4947.5;8.345703125
-1;1300;COCONUTS;7998;148;;;;;8000;47;8001;101;;;7999.0;0.0
-1;1300;PINA_COLADAS;15008;90;;;;;15011;90;;;;;15009.5;0.0
-1;1400;COCONUTS;7998;191;;;;;8001;191;;;;;7999.5;0.0
-1;1400;BANANAS;4945;26;;;;;4951;1;4952;25;;;4948.0;6.162109375
-1;1400;PINA_COLADAS;15006;80;;;;;15009;29;15010;51;;;15007.5;0.0
-1;1400;PEARLS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;-4.0
-1;1500;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;-4.0
-1;1500;BANANAS;4944;27;;;;;4951;27;;;;;4947.5;7.771484375
-1;1500;PINA_COLADAS;15009;109;;;;;15012;35;15013;74;;;15010.5;0.0
-1;1500;COCONUTS;8000;182;;;;;8001;60;8002;64;8003;118;8000.5;0.0
-1;1600;PINA_COLADAS;15012;30;15011;60;;;15014;30;15015;60;;;15013.0;0.0
-1;1600;PEARLS;9995;29;;;;;10005;29;;;;;10000.0;-4.0
-1;1600;COCONUTS;8000;161;;;;;8003;191;;;;;8001.5;-50.640625
-1;1600;BANANAS;4945;29;;;;;4952;29;;;;;4948.5;6.4140625
-1;1700;PEARLS;9996;2;9995;20;;;10002;1;10004;2;10005;20;9999.0;-2.0
-1;1700;BANANAS;4946;2;4945;20;;;4950;2;4952;22;;;4948.0;3.23046875
-1;1700;PINA_COLADAS;15011;83;;;;;15014;83;;;;;15012.5;0.0
-1;1700;COCONUTS;8000;188;;;;;8003;188;;;;;8001.5;-40.71875
-1;1800;COCONUTS;8001;72;8000;188;;;8003;188;;;;;8002.0;-43.546875
-1;1800;BANANAS;4946;1;4945;22;;;4952;23;;;;;4949.0;3.869140625
-1;1800;PINA_COLADAS;15012;110;;;;;15015;110;;;;;15013.5;0.0
-1;1800;PEARLS;10002;1;9996;1;9995;22;10004;1;10005;22;;;10003.0;-2.0
-1;1900;PEARLS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;0.0
-1;1900;BANANAS;4950;1;4945;29;;;4952;29;;;;;4951.0;5.87109375
-1;1900;PINA_COLADAS;15010;72;;;;;15013;72;;;;;15011.5;0.0
-1;1900;COCONUTS;8000;169;;;;;8002;68;8003;101;;;8001.0;-30.1875
-1;2000;PINA_COLADAS;15014;28;15013;82;;;15016;82;;;;;15015.0;0.0
-1;2000;PEARLS;9996;2;9995;24;;;9998;1;10004;2;10005;24;9997.0;0.0
-1;2000;COCONUTS;8000;166;;;;;8003;166;;;;;8001.5;-49.640625
-1;2000;BANANAS;4945;26;;;;;4951;2;4952;24;;;4948.0;7.77734375
-1;2100;PEARLS;9996;2;9995;25;;;10002;3;10004;2;10005;25;9999.0;-2.0
-1;2100;BANANAS;4945;27;;;;;4950;3;4952;27;;;4947.5;6.853515625
-1;2100;PINA_COLADAS;15014;82;;;;;15017;82;;;;;15015.5;0.0
-1;2100;COCONUTS;8001;204;;;;;8003;72;8004;132;;;8002.0;-61.90625
-1;2200;COCONUTS;8000;174;;;;;8002;48;8003;126;;;8001.0;-32.078125
-1;2200;BANANAS;4946;8;4945;25;;;4952;25;;;;;4949.0;5.50390625
-1;2200;PINA_COLADAS;15010;86;;;;;15013;20;15014;66;;;15011.5;0.0
-1;2200;PEARLS;9998;8;9996;1;9995;24;10004;1;10005;24;;;10001.0;-2.0
-1;2300;PEARLS;9998;7;9996;2;9995;30;10004;2;10005;30;;;10001.0;-2.0
-1;2300;BANANAS;4946;9;4945;30;;;4952;32;;;;;4949.0;4.392578125
-1;2300;COCONUTS;8000;153;;;;;8003;153;;;;;8001.5;-43.75
-1;2300;PINA_COLADAS;15010;93;;;;;15013;24;15014;69;;;15011.5;0.0
-1;2400;PINA_COLADAS;15009;87;;;;;15012;87;;;;;15010.5;0.0
-1;2400;PEARLS;9995;29;;;;;10005;29;;;;;10000.0;-2.0
-1;2400;COCONUTS;7999;185;;;;;8002;185;;;;;8000.5;-23.890625
-1;2400;BANANAS;4950;3;4947;29;;;4954;29;;;;;4952.0;-4.828125
-1;2500;BANANAS;4947;1;4946;22;;;4949;2;4953;23;;;4948.0;-2.810546875
-1;2500;PINA_COLADAS;15011;38;15010;93;;;15013;93;;;;;15012.0;0.0
-1;2500;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;-2.0
-1;2500;COCONUTS;8000;42;7999;116;;;8002;158;;;;;8001.0;-25.59375
-1;2600;COCONUTS;7999;155;;;;;8002;155;;;;;8000.5;-16.328125
-1;2600;BANANAS;4946;23;;;;;4953;23;;;;;4949.5;-2.05859375
-1;2600;PINA_COLADAS;15009;27;15008;74;;;15011;27;15012;74;;;15010.0;0.0
-1;2600;PEARLS;9995;23;;;;;10005;23;;;;;10000.0;-2.0
-1;2700;BANANAS;4947;6;4946;26;;;4953;26;;;;;4950.0;-4.3359375
-1;2700;PINA_COLADAS;15012;75;;;;;15015;75;;;;;15013.5;0.0
-1;2700;PEARLS;9998;6;9995;26;;;10005;26;;;;;10001.5;-2.0
