day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;PEARLS;9998;1;9995;30;;;10005;30;;;;;10001.5;0.0
0;0;COCONUTS;8113;205;;;;;8116;205;;;;;8114.5;0.0
0;0;BANANAS;4893;1;4892;30;;;4899;30;;;;;4896.0;0.0
0;0;PINA_COLADAS;15225;82;;;;;15228;82;;;;;15226.5;0.0
0;100;COCONUTS;8113;192;;;;;8115;70;8116;122;;;8114.0;0.0
0;100;PINA_COLADAS;15223;109;;;;;15226;109;;;;;15224.5;0.0
0;100;PEARLS;9996;1;9995;30;;;10002;6;10004;1;10005;30;9999.0;2.0
0;100;BANANAS;4892;31;;;;;4896;7;4898;31;;;4894.0;0.0
0;200;PINA_COLADAS;15226;7;15224;101;;;15227;101;;;;;15226.5;0.0
0;200;COCONUTS;8113;167;;;;;8116;167;;;;;8114.5;0.0
0;200;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;2.0
0;200;BANANAS;4892;22;;;;;4899;22;;;;;4895.5;0.0
0;300;COCONUTS;8113;68;8112;118;;;8115;68;8116;118;;;8114.0;0.0
0;300;PINA_COLADAS;15224;84;;;;;15227;84;;;;;15225.5;0.0
0;300;PEARLS;9996;2;9995;23;;;9998;3;10004;2;10005;23;9997.0;2.0
0;300;BANANAS;4893;25;;;;;4899;2;4900;23;;;4896.0;0.0
0;400;COCONUTS;8112;73;8111;128;;;8114;201;;;;;8113.0;0.0
0;400;PEARLS;9998;5;9996;2;9995;23;10004;2;10005;23;;;10001.0;-4.0
0;400;BANANAS;4894;5;4893;25;;;4899;25;;;;;4896.5;0.0
0;400;PINA_COLADAS;15220;105;;;;;15223;105;;;;;15221.5;0.0
0;500;COCONUTS;8112;168;;;;;8114;53;8115;115;;;8113.0;0.0
0;500;PINA_COLADAS;15221;97;;;;;15224;37;15225;60;;;15222.5;0.0
0;500;PEARLS;10002;1;9996;2;9995;22;10004;2;10005;22;;;10003.0;-4.0
0;500;BANANAS;4893;24;;;;;4899;24;;;;;4896.0;27.28125
0;600;PINA_COLADAS;15221;22;15220;53;;;15224;75;;;;;15222.5;0.0
