timestamp;buyer;seller;symbol;currency;price;quantity
100;;;PEARLS;SEASHELLS;10002.0;1
100;;;BANANAS;SEASHELLS;4875.0;1
200;;;DIP;SEASHELLS;7002.0;9
200;;;BANANAS;SEASHELLS;4876.0;1
200;;;PEARLS;SEASHELLS;10004.0;1
300;;;BANANAS;SEASHELLS;4873.0;1
400;;;BANANAS;SEASHELLS;4871.0;5
500;;;BANANAS;SEASHELLS;4874.0;1
700;;;DIP;SEASHELLS;7002.0;6
800;;;PEARLS;SEASHELLS;9996.0;1
800;;;BANANAS;SEASHELLS;4871.0;1
1000;;;BANANAS;SEASHELLS;4875.0;10
1000;;;UKULELE;SEASHELLS;21015.0;4
1100;;;UKULELE;SEASHELLS;21017.0;5
1100;;;BAGUETTE;SEASHELLS;12000.0;4
1200;;;BANANAS;SEASHELLS;4868.0;1
1300;;;DIVING_GEAR;SEASHELLS;98906.0;3
1300;;;PEARLS;SEASHELLS;10002.0;1
1500;;;BANANAS;SEASHELLS;4874.0;1
1500;;;DIP;SEASHELLS;6998.0;10
1500;;;PEARLS;SEASHELLS;9998.0;4
1500;;;DIP;SEASHELLS;6998.0;8
1600;;;DIP;SEASHELLS;6995.0;4
1700;;;DIP;SEASHELLS;6995.0;8
1700;;;BANANAS;SEASHELLS;4870.0;2
1900;;;BANANAS;SEASHELLS;4868.0;1
1900;;;PINA_COLADAS;SEASHELLS;14998.0;13
1900;;;UKULELE;SEASHELLS;21023.0;2
2100;;;COCONUTS;SEASHELLS;7998.0;53
2200;;;UKULELE;SEASHELLS;21021.0;3
2300;;;PICNIC_BASKET;SEASHELLS;73392.0;1
2300;;;PICNIC_BASKET;SEASHELLS;73393.0;2
2400;;;BAGUETTE;SEASHELLS;12010.0;7
2400;;;BAGUETTE;SEASHELLS;12010.0;5
2600;;;PEARLS;SEASHELLS;10002.0;4
2600;;;PEARLS;SEASHELLS;10002.0;1
2600;;;BANANAS;SEASHELLS;4872.0;2
