timestamp;buyer;seller;symbol;currency;price;quantity
100;Paris;Camilla;PEARLS;SEASHELLS;10002.0;1
300;Charlie;Pablo;PEARLS;SEASHELLS;9998.0;2
300;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
400;Penelope;Charlie;BANANAS;SEASHELLS;4899.0;9
500;Paris;Charlie;BANANAS;SEASHELLS;4899.0;1
500;Paris;Caesar;PEARLS;SEASHELLS;10004.0;1
500;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
1400;Caesar;Paris;BANANAS;SEASHELLS;4891.0;1
1500;Paris;Charlie;BANANAS;SEASHELLS;4896.0;1
1500;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
1700;Penelope;Charlie;PEARLS;SEASHELLS;10005.0;6
2200;Gary;Charlie;BANANAS;SEASHELLS;4896.0;16
2400;Pablo;Charlie;BANANAS;SEASHELLS;4894.0;3
2500;Charlie;Pablo;BANANAS;SEASHELLS;4891.0;5
2700;Camilla;Pablo;PEARLS;SEASHELLS;9998.0;5
2800;Paris;Charlie;BANANAS;SEASHELLS;4895.0;1
2900;Gina;Paris;PEARLS;SEASHELLS;9998.0;1
3100;Charlie;Paris;BANANAS;SEASHELLS;4891.0;1
3300;Caesar;Gary;PEARLS;SEASHELLS;9996.0;2
3300;Penelope;Gary;PEARLS;SEASHELLS;9996.0;2
3700;Paris;Camilla;BANANAS;SEASHELLS;4897.0;1
4200;Caesar;Gina;BANANAS;SEASHELLS;4893.0;2
4200;Charlie;Gina;BANANAS;SEASHELLS;4893.0;10
4300;Charlie;Paris;BANANAS;SEASHELLS;4892.0;1
4300;Caesar;Penelope;PEARLS;SEASHELLS;9996.0;2
4300;Charlie;Penelope;PEARLS;SEASHELLS;9996.0;1
4300;Charlie;Paris;PEARLS;SEASHELLS;9995.0;1
4400;Caesar;Paris;BANANAS;SEASHELLS;4893.0;1
4400;Charlie;Paris;PEARLS;SEASHELLS;9998.0;1
4700;Charlie;Gina;BANANAS;SEASHELLS;4893.0;8
4700;Camilla;Gina;BANANAS;SEASHELLS;4893.0;4
4800;Paris;Charlie;BANANAS;SEASHELLS;4898.0;1
4800;Pablo;Charlie;PEARLS;SEASHELLS;10002.0;3
4900;Charlie;Pablo;PEARLS;SEASHELLS;9998.0;4
4900;Paris;Pablo;PEARLS;SEASHELLS;9998.0;1
5100;Paris;Pablo;BANANAS;SEASHELLS;4894.0;1
5100;Camilla;Pablo;BANANAS;SEASHELLS;4894.0;2
6200;Charlie;Gina;BANANAS;SEASHELLS;4895.0;12
6200;Caesar;Gina;BANANAS;SEASHELLS;4895.0;1
6300;Penelope;Charlie;BANANAS;SEASHELLS;4901.0;6
6300;Charlie;Paris;BANANAS;SEASHELLS;4894.0;1
6600;Gary;Charlie;BANANAS;SEASHELLS;4901.0;18
6700;Pablo;Charlie;PEARLS;SEASHELLS;10002.0;4
6800;Caesar;Paris;PEARLS;SEASHELLS;9996.0;1
6800;Camilla;Gary;PEARLS;SEASHELLS;9998.0;1
6800;Charlie;Paris;PEARLS;SEASHELLS;9996.0;1
6800;Camilla;Paris;BANANAS;SEASHELLS;4894.0;1
6800;Charlie;Paris;BANANAS;SEASHELLS;4894.0;1
7200;Paris;Caesar;BANANAS;SEASHELLS;4899.0;1
7200;Paris;Caesar;PEARLS;SEASHELLS;10004.0;1
7400;Paris;Charlie;PEARLS;SEASHELLS;10002.0;1
7600;Caesar;Penelope;BANANAS;SEASHELLS;4895.0;2
7700;Paris;Charlie;BANANAS;SEASHELLS;4900.0;1
7700;Paris;Charlie;BANANAS;SEASHELLS;4901.0;1
7700;Paris;Charlie;PEARLS;SEASHELLS;10005.0;1
7800;Paris;Charlie;BANANAS;SEASHELLS;4900.0;1
