timestamp;buyer;seller;symbol;currency;price;quantity
0;;;BANANAS;SEASHELLS;5003.0;1
0;;;PEARLS;SEASHELLS;9996.0;1
0;;;PEARLS;SEASHELLS;9996.0;1
1100;;;BANANAS;SEASHELLS;4998.0;1
1300;;;BANANAS;SEASHELLS;5000.0;4
1300;;;BANANAS;SEASHELLS;5000.0;3
1400;;;BANANAS;SEASHELLS;4997.0;10
1500;;;BANANAS;SEASHELLS;5004.0;1
1500;;;PEARLS;SEASHELLS;10004.0;1
1800;;;BANANAS;SEASHELLS;5003.0;1
2000;;;BANANAS;SEASHELLS;5002.0;1
2500;;;PEARLS;SEASHELLS;9998.0;1
3200;;;BANANAS;SEASHELLS;4996.0;1
3200;;;PEARLS;SEASHELLS;9996.0;1
3300;;;PEARLS;SEASHELLS;9995.0;2
3300;;;BANANAS;SEASHELLS;4996.0;2
3600;;;PEARLS;SEASHELLS;10005.0;6
3900;;;BANANAS;SEASHELLS;5002.0;1
4000;;;PEARLS;SEASHELLS;9998.0;1
4200;;;BANANAS;SEASHELLS;4996.0;1
4200;;;PEARLS;SEASHELLS;10004.0;2
4200;;;PEARLS;SEASHELLS;10004.0;1
6400;;;BANANAS;SEASHELLS;4995.0;1
6600;;;BANANAS;SEASHELLS;4995.0;1
6700;;;PEARLS;SEASHELLS;9998.0;2
6700;;;BANANAS;SEASHELLS;4996.0;2
6900;;;BANANAS;SEASHELLS;4999.0;1
6900;;;BANANAS;SEASHELLS;4999.0;1
7300;;;BANANAS;SEASHELLS;4995.0;1
7400;;;BANANAS;SEASHELLS;5000.0;1
7400;;;BANANAS;SEASHELLS;4996.0;1
7400;;;PEARLS;SEASHELLS;10002.0;1
7500;;;PEARLS;SEASHELLS;10002.0;1
8200;;;BANANAS;SEASHELLS;5000.0;1
8600;;;BANANAS;SEASHELLS;4999.0;1
8600;;;PEARLS;SEASHELLS;10002.0;1
8700;;;PEARLS;SEASHELLS;10002.0;2
8700;;;BANANAS;SEASHELLS;4999.0;2
